date,likes,CA,TX,NY,CA_new,TX_new,NY_new
4/25/21,32092245,3731900,2869755,2029307,1351,1480,4050
4/26/21,32139580,3734630,2874150,2032325,2730,4395,3018
4/27/21,32191457,3736753,2877890,2035668,2123,3740,3343
4/28/21,32246275,3738507,2882018,2038668,1754,4128,3000
4/29/21,32303857,3739891,2885569,2042530,1384,3551,3862
4/30/21,32362374,3742224,2889252,2046322,2333,3683,3792
5/1/21,32407133,3743780,2891264,2050174,1556,2012,3852
5/2/21,32436765,3745139,2892504,2053027,1359,1240,2853
5/3/21,32486709,3747389,2896609,2055467,2250,4105,2440
5/4/21,32527664,3749576,2899356,2057701,2187,2747,2234
5/5/21,32572383,3751248,2901603,2060075,1672,2247,2374
5/6/21,32620077,3753796,2904201,2062707,2548,2598,2632
5/7/21,32667570,3755950,2907084,2065172,2154,2883,2465
5/8/21,32701236,3757249,2908499,2068200,1299,1415,3028
5/9/21,32723564,3758303,2909750,2070603,1054,1251,2403
5/10/21,32760121,3760386,2912414,2072264,2083,2664,1661
5/11/21,32794162,3761977,2915330,2073713,1591,2916,1449
5/12/21,32829645,3763580,2917768,2075757,1603,2438,2044
5/13/21,32868084,3765346,2920004,2077961,1766,2236,2204
5/14/21,32909065,3766941,2922438,2080000,1595,2434,2039
5/15/21,32938115,3768252,2923523,2081761,1311,1085,1761
5/16/21,32954825,3769052,2924188,2083649,800,665,1888
5/17/21,32984032,3770344,2926306,2085028,1292,2118,1379
5/18/21,33011895,3771421,2929734,2086577,1077,3428,1549
5/19/21,33040689,3773011,2931630,2087900,1590,1896,1323
5/20/21,33070307,3774570,2933314,2089547,1559,1684,1647
5/21/21,33099318,3775904,2934857,2091142,1334,1543,1595
5/22/21,33117634,3776679,2935806,2092455,775,949,1313
5/23/21,33131784,3777406,2936554,2093529,727,748,1074
5/24/21,33157412,3778839,2939416,2094493,1433,2862,964
5/25/21,33180250,3780128,2941936,2095438,1289,2520,945
5/26/21,33203636,3781388,2943560,2096320,1260,1624,882
5/27/21,33231383,3786674,2945297,2097465,5286,1737,1145
5/28/21,33253407,3788120,2946950,2098395,1446,1653,930
5/29/21,33264967,3788894,2947615,2099261,774,665,866
5/30/21,33272409,3789496,2947780,2100109,602,165,848
5/31/21,33277912,3789883,2947933,2100633,387,153,524
6/1/21,33300626,3791188,2948635,2101111,1305,702,478
6/2/21,33317484,3792111,2950982,2101514,923,2347,403
6/3/21,33336953,3793194,2954086,2102003,1083,3104,489
6/4/21,33312953,3794373,2955722,2102760,1179,1636,757
6/5/21,33323401,3795202,2957016,2103612,829,1294,852
6/6/21,33329554,3795959,2957646,2104103,757,630,491
6/7/21,33349005,3797141,2958465,2104622,1182,819,519
6/8/21,33363189,3798225,2960310,2105081,1084,1845,459
6/9/21,33383852,3799174,2967261,2105507,949,6951,426
6/10/21,33399648,3800222,2969114,2106056,1048,1853,549
6/11/21,33416473,3801205,2970252,2106742,983,1138,686
6/12/21,33424751,3801812,2971075,2107172,607,823,430
6/13/21,33431538,3802390,2971498,2107535,578,423,363
6/14/21,33446657,3803495,2972381,2107912,1105,883,377
6/15/21,33458529,3804529,2973462,2108249,1034,1081,337
6/16/21,33472935,3805390,2975716,2108535,861,2254,286
6/17/21,33485122,3806400,2976499,2108978,1010,783,443
6/18/21,33497837,3807542,2977580,2109393,1142,1081,415
6/19/21,33505416,3808088,2979299,2109782,546,1719,389
6/20/21,33509479,3808733,2979672,2110069,645,373,287
6/21/21,33525323,3810024,2980325,2110346,1291,653,277
6/22/21,33538085,3811099,2982215,2110612,1075,1890,266
6/23/21,33552112,3811979,2983351,2110862,880,1136,250
6/24/21,33566803,3812993,2985029,2111245,1014,1678,383
6/25/21,33581766,3814393,2986713,2111588,1400,1684,343
6/26/21,33588555,3815178,2988213,2111933,785,1500,345
6/27/21,33592642,3816045,2988389,2112307,867,176,374
6/28/21,33608190,3817655,2989253,2112628,1610,864,321
